ts,track_id,side,x,y,conf,source
1780885458.502,13,L,483.8,527.5,0.966,direct
1780885458.502,13,R,427.5,522.9,0.978,direct
1780885458.547,13,L,485.3,525.1,0.966,direct
1780885458.547,13,R,431.2,518.9,0.978,direct
1780885458.581,13,L,486.1,524.0,0.970,direct
1780885458.581,13,R,433.6,516.9,0.980,direct
1780885458.612,13,L,486.4,523.5,0.964,direct
1780885458.612,13,R,435.3,516.6,0.972,direct
1780885458.650,13,L,486.7,523.0,0.964,direct
1780885458.650,13,R,436.6,516.3,0.972,direct
1780885458.693,13,L,486.3,522.9,0.972,direct
1780885458.693,13,R,436.6,518.0,0.978,direct
1780885458.728,13,L,485.8,522.9,0.972,direct
1780885458.728,13,R,436.2,519.4,0.978,direct
1780885458.765,13,L,485.2,522.7,0.972,direct
1780885458.765,13,R,436.1,520.0,0.978,direct
1780885458.802,13,L,484.6,522.3,0.972,direct
1780885458.802,13,R,436.1,520.3,0.978,direct
1780885458.852,13,L,485.1,519.1,0.950,direct
1780885458.852,13,R,436.5,519.4,0.958,direct
1780885458.895,13,L,486.0,516.7,0.950,direct
1780885458.895,13,R,436.7,517.8,0.958,direct
1780885458.930,13,L,486.6,516.2,0.976,direct
1780885458.930,13,R,436.7,516.6,0.982,direct
1780885458.976,13,L,488.5,515.5,0.980,direct
1780885458.976,13,R,436.8,515.7,0.985,direct
1780885459.011,13,L,489.7,515.2,0.980,direct
1780885459.011,13,R,436.8,515.2,0.985,direct
1780885459.046,13,L,491.9,514.7,0.973,direct
1780885459.046,13,R,436.8,515.2,0.981,direct
1780885459.081,13,L,493.8,514.2,0.973,direct
1780885459.081,13,R,436.8,515.6,0.981,direct
1780885459.115,13,L,496.1,513.9,0.981,direct
1780885459.115,13,R,436.8,515.9,0.987,direct
1780885459.150,13,L,497.8,513.7,0.981,direct
1780885459.150,13,R,436.9,516.2,0.987,direct
1780885459.197,13,L,503.6,516.0,0.976,direct
1780885459.197,13,R,436.9,517.3,0.982,direct
1780885459.233,13,L,507.4,517.7,0.976,direct
1780885459.233,13,R,436.9,517.9,0.982,direct
1780885459.270,13,L,512.5,517.8,0.973,direct
1780885459.270,13,R,436.7,518.0,0.981,direct
1780885459.309,13,L,516.4,517.3,0.973,direct
1780885459.309,13,R,436.3,517.9,0.981,direct
1780885459.355,13,L,528.6,518.2,0.949,direct
1780885459.355,13,R,435.8,517.9,0.956,direct
1780885459.387,13,L,537.8,519.3,0.959,direct
